##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;エラー:510;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;2) '%d' is for indicating where another integer value is inserted, and MAY NEVER BE REMOVED! If there are more than one '%d' in a string, they may not change places. ('%.1f' is used in exactly the same way but for non-integer values ?  '%c%d' is used for values that are displayed with a '+' or '-' sign in front, DO NOT CHANGE, ADD, OR REMOVE!);;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;4) The characters '#' (hashmark), semicolon, '%' (percentage sign), '?' (paragraph sign), quotation marks and '\' (backslash) MAY NOT BE USED (except when used as control codes ? this will otherwise create serious problems!!! Quotation marks may not even be used in comments -- use a 'citation mark' (single) instead if necessary!);;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;ｧW = white text;;;;;;;;;;X
##;ｧY = orange text;;;;;;;;;;X
##;Note that the color change will be applied to all words after the code, until the end of the line that the word is printed on. If several words should have a color change, put the code in front of each of them to be on the safe side. If only one word should have a color change, make sure to reset the color after the word.;;;;;;;;;;X
##;9) Unless otherwise specifically stated, length of words and texts does not really matter THAT much (message boxes, rollover help boxes and buttons WILL stretch to fit the text string) ? however you will notice once the translation is inserted that space IS limited in quite a few areas? so be brief, and try not to use words that are considerably longer than the english original.;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not not exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;エラー:510;エラー:510;エラー:510;エラー:510;エラー:510;エラー:510;エラー:510;エラー:510;;エラー:510;X
CRB_DIVPEN;指揮能力を上回る数のユニットを率いている司令官には厳しいペナルティが科せられます。;A commander gets a severe penalty if too many units are under his command.;;;;;;;;;X
CRB_DUG;塹壕を構築しているユニットは防衛能力にボーナスが与えられます。;A unit which has dug in gets a bonus to its effectiveness when defending.;;;;;;;;;X
CRB_ENCIRCLE;包囲されたユニットには防衛能力に厳しいペナルティが科せられます。;An encircled unit receives a severe penalty to its effectiveness in defending itself.;;;;;;;;;X
CRB_ENVELOP;2方向以上からの同時攻撃は攻撃側に有利に作用します。;An attack from more than one direction gives an advantage to the attackers.;;;;;;;;;X
CRB_FOREST;森林は攻勢機動が成功する確率を低下させます。特に影響を受けるのは戦車師団です。;Forest reduces the chance of offensive maneuvers, especially for armored divisions.;;;;;;;;;X
CRB_FORT;要塞は防衛側をきわめて有利にします。;Fortresses give significant advantages to the defender.;;;;;;;;;X
CRB_FROZEN;寒冷な天候は攻撃側の能力を低下させます。;Cold weather reduces the effectiveness of attackers.;;;;;;;;;X
CRB_HQ;司令部と同じプロヴィンスか、それに隣接するプロヴィンスにいるユニットは効率性が上昇します。;Being a HQ or adjacent to one improves a unit's efficiency.;;;;;;;;;X
CRB_JUNGLE;密林は攻勢機動が成功する確率を低下させます。特に影響を受けるのは戦車師団です。;Jungle reduces the chance of offensive maneuvers, especially for armored divisions.;;;;;;;;;X
CRB_LEADER;司令官はそのスキルレベルに応じてユニットにボーナスを与えます。;Leaders grant bonuses to units, depending on their skill level.;;;;;;;;;X
CRB_MARSH;密林は攻勢機動が成功する確率を低下させます。特に影響を受けるのは戦車師団です。;Marsh reduces the chance of offensive maneuvers, and especially so for armored divisions.;;;;;;;;;X
CRB_MOUNTAIN;山岳地帯は攻勢機動が成功する確率を低下させます\n。特に影響を受けるのは戦車師団です。;Mountains reduce the chance of offensive maneuvers, especially for armored divisions.;;;;;;;;;X
CRB_MUDDY;悪天候によって地面が泥濘と化すと、ユニットの能力が低下します。;Muddy weather reduces the effectiveness of units.;;;;;;;;;X
CRB_NIGHT;夜間は敵を発見することが難しくなり、戦闘効率が低下します。;Nighttime makes it harder to spot the enemy, reducing the effectiveness of combat.;;;;;;;;;X
CRB_PARATROOP;空挺兵がプロヴィンスを攻撃する際にはペナルティが科せられます。;Paratroopers have a penalty when attacking a province.;;;;;;;;;X
CRB_RAIN;雨は攻撃側の能力を低下させます。;Rain reduces the effectiveness of attackers.;;;;;;;;;X
CRB_RIVER;河川を渡るユニットには厳しいペナルティが科せられます\n（特に工兵が配備されていない師団の場合）。;Crossing a river is a severe penalty for attacking units, especially for divisions without engineers attached.;;;;;;;;;X
CRB_SNOW;雪は攻撃側の戦闘力を低下させます。;Snow reduces the effectiveness of attackers.;;;;;;;;;X
CRB_STORM;暴風雨は攻撃側の戦闘力を低下させます。また航空機は出撃できなくなります。;Storms reduce the effectiveness of attackers, and grounds the air force.;;;;;;;;;X
CRB_URBAN;市街戦は火力を大きく低下させ、戦闘が長期化します。;Urban combat significantly reduces firepower, making battles take longer.;;;;;;;;;X
CRB_HILLS;丘陵は特に戦車師団の攻勢機動が成功する確率を低下させます。一方防衛側にとっては効果的な防御陣地となります。;Hills reduces the chance of offensive maneuvers, especially for armored divisions, and they provide good defensive positions.;;;;;;;;;X
CRB_SHORE;戦艦による沿岸砲撃は敵の戦闘能力を低下させます。;Shore bombardment by battleships reduces the effectiveness of the opponent.;;;;;;;;;X
CRB_NIGHTF;「夜間航空作戦」の特性を持つ司令官は、夜間作戦を行う指揮下のユニットに大きなボーナスを与えます。;A leader with the night-flyer trait have a significant bonus during the night.;;;;;;;;;X
CRB_OFFDOC;「攻勢ドクトリン」の特性を持つ司令官は、攻撃を行う指揮下のユニットにボーナスを与えます。;A leader with the offensive doctrine trait will provide a bonus when attacking.;;;;;;;;;X
CRB_DEFDOC;「防勢ドクトリン」の特性を持つ司令官は、防御を行う指揮下のユニットにボーナスを与えます。;A leader with the defensive doctrine trait will provide a bonus when defending.;;;;;;;;;X
CRB_SUPTAC;「卓越した戦術家」の特性を持つ海軍大将や空軍司令官は、戦闘を行う指揮下のユニットにボーナスを与えます。;An admiral or air commander with the superior tactician trait will provide a bonus in battle.;;;;;;;;;X
CRB_STAPEN;指揮能力を上回る規模のユニットを率いている司令官には、過重負担のペナルティが科せられます。;The stacking penalty modifier is applied when one stack of units is too big for that side's commanders to be able to command it effectively.;;;;;;;;;X
CRB_DIFFIC;難易度を高くしてプレイすると、戦闘時に難易度ペナルティが科せられます。;When playing at high difficulty, you will get a difficulty penalty in a battle.;;;;;;;;;X
CRB_LACKOF;補給切れのユニットには戦闘時に厳しいペナルティが科せられます。;A unit without supplies fights with a significant penalty.;;;;;;;;;X
CRB_DESERT;優れた砂漠用装備を持たないユニットは砂漠での戦闘の際に能力が低下します。;Units without good desert equipment perform worse when fighting in a desert.;;;;;;;;;X
CRB_WEATEQ;荒天用の装備を持たないユニットは、荒天時に効果的に戦うことができません。;Units without equipment for harsh weather have difficulty fighting effectively.;;;;;;;;;X
CRB_PNZLDR;「機甲戦」の特性を持つ司令官は戦車師団、軽戦車師団、機械化師団の指揮を得意とします。;A Panzer leader has an advantage when commanding armor, light armor or mechanized divisions.;;;;;;;;;X
CRB_COMAND;「特殊戦」の特性を持つ司令官は空挺兵、山岳兵、海兵などの特殊部隊の指揮を得意とします。;A Commando leader provides bonus to special forces like paratroopers, mountaineers and marines.;;;;;;;;;X
CRB_SEAWOL;「海狼」の特性を持つ司令官は潜水艦にボーナスを与えます。;Submarines get a bonus if their commander is a 'Seawolf'.;;;;;;;;;X
CRB_SURPNL;奇襲攻撃を受けた師団にはペナルティが科せられ、敵に撃破されやすくなります。;A surprised division has a penalty, making it a vulnerable target.;;;;;;;;;X
CRB_RDRSTN;レーダー施設は敵航空ユニットの攻撃効果を低下させます。;A radar station decreases the effectiveness of attacking air units.;;;;;;;;;X
CRB_COMARM;全体の1/3から2/3が機械化師団か戦車師団で構成されている陸上ユニットや、艦艇タイプのバランスが良い海上ユニットは、「諸兵科連合」ボーナスを得ることができます。;Land units with between one and two thirds mechanized and armored divisions, and naval units with a balanced composition of ship types get a 'combined arms' bonus.;;;;;;;;;X
CRB_BCOMAR;使用されていません;unused;;;;;;;;;X
CRB_MULTIP;複数の戦闘に同時に巻き込まれ、さらに側面攻撃も受けているユニットは撃破されやすくなります。;A unit involved in multiple combats and attacked in the flank is more vulnerable.;;;;;;;;;X
CRB_EXPERI;経験豊富なユニットは戦闘能力が向上します。;Experienced units perform better when in combat.;;;;;;;;;X
CRB_INTERC;敵爆撃機を攻撃する迎撃機には、特別なボーナスが与えられます。;Interceptors have a special bonus when facing bombers in air combat.;;;;;;;;;X
CRB_MISEFF;ユニットがどれだけ効率的に活躍できるか;The efficiency with which unit performs;;;;;;;;;X
CRB_AIRCOMBAT;爆撃任務を遂行中に空中戦闘に巻き込まれた航空ユニットは効果的に応戦できません。;Air units engaging in air combat while attempting a bombing mission perform worse.;;;;;;;;;X
CRB_MINMOD;大臣が戦闘中のユニットに与える影響はそれぞれ異なっています。;Different ministers can give different modifiers to a unit in combat.;;;;;;;;;X
NOTENOUGHROOM;ここにはこのユニットを乗せられるだけの輸送用ユニットがありません。;There is no transport unit with enough capacity for this unit here.;;;;;;;;;X
########################################;;;;;;;;;;;X
# Leader Information;;;;;;;;;;;X
########################################;;;;;;;;;;;X
0TH;第;th;;;;;;;;;X
1ST;第;st;;;;;;;;;X
2ND;第;nd;;;;;;;;;X
3TH;第;rd;;;;;;;;;X
4TH;第;th;;;;;;;;;X
5TH;第;th;;;;;;;;;X
6TH;第;th;;;;;;;;;X
7TH;第;th;;;;;;;;;X
8TH;第;th;;;;;;;;;X
9TH;第;th;;;;;;;;;X
3RD;第;rd;;;;;;;;;X
1TH;第;th;;;;;;;;;X
2TH;第;th;;;;;;;;;X
DIVISION;大隊;Division;;;;;;;;;X
FLOTILLA;艦隊;Flotilla;;;;;;;;;X
TRAIT_LOGWIZ;兵站管理;Logistics Wizard;;;;;;;;;X
TRAIT_DEFDOC;防勢ドクトリン;Defensive Doctrine;;;;;;;;;X
TRAIT_OFFDOC;攻勢ドクトリン;Offensive Doctrine;;;;;;;;;X
TRAIT_WINSPE;冬期戦;Winter Specialist;;;;;;;;;X
TRAIT_TRICKS;伏撃;Trickster;;;;;;;;;X
TRAIT_ENGINE;工兵;Engineer;;;;;;;;;X
TRAIT_FORBUS;要塞攻撃;Fortress Buster;;;;;;;;;X
TRAIT_PNZLED;機甲戦;Panzer Leader;;;;;;;;;X
TRAIT_COMMAN;特殊戦;Commando;;;;;;;;;X
TRAIT_OLDGRD;古典派;Old Guard;;;;;;;;;X
TRAIT_SEAWOL;海狼;Sea Wolf;;;;;;;;;X
TRAIT_BLKRUN;封鎖線突破の達人;Blockade Runner;;;;;;;;;X
TRAIT_SUPTAC;卓越した戦術家;Superior Tactician;;;;;;;;;X
TRAIT_SPOTTE;索敵;Spotter;;;;;;;;;X
TRAIT_TNKBUS;対戦車攻撃;Tank Buster;;;;;;;;;X
TRAIT_CRPBOM;絨毯爆撃;Carpet Bomber;;;;;;;;;X
TRAIT_NGHTFL;夜間航空作戦;Night Flyer;;;;;;;;;X
TRAIT_FLTDES;対艦攻撃;Fleet Destroyer;;;;;;;;;X
TRAIT_DSRFOX;砂漠のキツネ;Desert Fox;;;;;;;;;X
TRAIT_JUNGLE;密林のネズミ;Jungle Rat;;;;;;;;;X
TRAIT_URBAN;市街戦;Urban Warfare Specialist;;;;;;;;;X
TRAIT_FOREST;レンジャー;Ranger;;;;;;;;;X
TRAIT_MOUNTAIN;山岳戦;Mountaineer;;;;;;;;;X
TRAIT_HILLS;高地戦;Hills Fighter;;;;;;;;;X
TRAIT_COUNTER;反撃戦;Counter Attacker;;;;;;;;;X
TRAIT_ASSAULT;突撃戦;Assaulter;;;;;;;;;X
TRAIT_ENCIRCL;包囲戦;Encircler;;;;;;;;;X
TRAIT_AMBUSH;奇襲戦;Ambusher;;;;;;;;;X
TRAIT_DELAY;規律;Disciplined;;;;;;;;;X
TRAIT_TATICAL;弾性防御;Elastic Defense Specialist;;;;;;;;;X
TRAIT_BREAK;電撃戦;Blitzer;;;;;;;;;X
RANKNAME_1;陸軍元帥;Field Marshal;;;;;;;;;X
RANKNAME_2;陸軍大将;General;;;;;;;;;X
RANKNAME_3;陸軍中将;Lt. General;;;;;;;;;X
RANKNAME_4;陸軍少将;Mj. General;;;;;;;;;X
RANKNAME_A1;航空宇宙軍元帥;Air Marshal;;;;;;;;;X
RANKNAME_A2;航空宇宙軍大将;Air General;;;;;;;;;X
RANKNAME_A3;航空宇宙軍中将;Lt. General;;;;;;;;;X
RANKNAME_A4;航空宇宙軍少将;Mj. General;;;;;;;;;X
RANKNAME_N1;海軍元帥;Grand Admiral;;;;;;;;;X
RANKNAME_N2;海軍大将;Admiral;;;;;;;;;X
RANKNAME_N3;海軍中将;Vice Admiral;;;;;;;;;X
RANKNAME_N4;海軍少将;Rear Admiral;;;;;;;;;X
CANCOMMANDA;%d個の飛行隊を指揮できます。;Can command %d squadrons.;;;;;;;;;X
CANCOMMANDN;%d個の小艦隊を指揮できます。;Can command %d flotillas;;;;;;;;;X
CANCOMMAND;%d個の師団を指揮できます。;Can command %d divisions;;;;;;;;;X
LEADER_PROMOTE;昇進;Promote;;;;;;;;;X
LEADER_REMOVE;解任;Remove;;;;;;;;;X
LEADER_SKILL;スキル： %d\n;Skill: %d\n;;;;;;;;;X
LEADER_EXP;経験値： %.0f\n;Exp: %.0f\n;;;;;;;;;X
LEADER_PROMOTE_IRO1;（クリックして司令官を昇進させることができます。）;(click to promote leader to a higher rank.);;;;;;;;;X
LEADER_PROMOTE_IRO2;この司令官の階級はすでに最高です。;This leader is already of the highest rank.;;;;;;;;;X
LEADER_PROMOTE_IRO3;この司令官はスキルが不足しているため、昇進させることはできません。;This leader is not skillful enough to be promoted.;;;;;;;;;X
LEADER_PROMOTE_IRO4;この司令官を昇進させることはできません。;This leader cannot be promoted.;;;;;;;;;X
LEADER_PROMOTE_DRO;司令官を昇進させると、より多くのユニットを率いることができるようになります。階級が定める限度以上のユニットを指揮している司令官は、自分が持つボーナスを指揮下のユニットに与えることができなくなります。昇進した司令官はスキルレベルが低下します（これは部隊規模の拡大にともない参謀が増えたことで、多少混乱が生じていることを表しています）。昇進した司令官は忠誠心が増します。;Leaders can be promoted to allow them to command larger task forces more successfully. If a leader commands more units than his current rank is capable of, he will not give any leadership bonuses. A promoted leader will lose a skill level (this reflects the fact that his staff is increased which results in ineffectiveness). A promoted leader will also become more loyal.;;;;;;;;;X
LEADER_GIVE_COMMAND;（クリックして選択したユニットに命令を出します。）;(click to give command over selected unit.);;;;;;;;;X
LEADER_DROP_DOWN_LIST_ENTRY;%s： <%d/%d> %d - %d - %d - %d;%s: <%d/%d> %d - %d - %d - %d;;;;;;;;;X
LEADER_DROP_DOWN_LIST_TOOLTIP;特性フィルタ： <合計ランク> (階級序列結果);Filter by Trait: <Total Ranks> (Results ordered by rank);;;;;;;;;X
LEADER_SORT_RANK_TOOLTIP;%sのオン/オフ切り替え;Toggle %s On and Off.;;;;;;;;;X
##;;;;;;;;;;;X
EYR_T_MANPOWER;労働力;Manpower;;;;;;;;;X
EYRLANDTECH;陸上用技術;Land Technologies;;;;;;;;;X
EYRNAVALTECH;海上用技術;Naval Technologies;;;;;;;;;X
EYRRESOURCE;日々の資源供給;Daily Resource Flow;;;;;;;;;X
EYR_R_CATEGORY;分野;Category;;;;;;;;;X
EYR_RES_HP;自国のプロヴィンスで生産;Produced in Home Provinces;;;;;;;;;X
EYR_RES_CH;自国のプロヴィンスへ輸送;Convoyed to Home Provinces;;;;;;;;;X
EYR_RES_TA;輸出;Traded Away on World Market;;;;;;;;;X
EYR_RES_TF;輸入;Traded for on World Market;;;;;;;;;X
EYR_RES_CO;工業的に変換;Converted by Process;;;;;;;;;X
EYR_RES_US;工業に使用;Used by Industries;;;;;;;;;X
EYR_RES_UST;自軍が使用;Used by Own Troops;;;;;;;;;X
EYR_RES_USTA;同盟国の軍が使用;Used by Allied Troops;;;;;;;;;X
EYRLNAME;名前;Name;;;;;;;;;X
EYRLRANK;階級;Rank;;;;;;;;;X
EYRLSKILL;スキル;Skill;;;;;;;;;X
EYRLEXP;経験値;Experience;;;;;;;;;X
EYRLCOMMISION;委任;Commission;;;;;;;;;X
EYRANAME;名前;Name;;;;;;;;;X
EYRTYPE;タイプ;Type;;;;;;;;;X
EYRUNIT;ユニット;Unit;;;;;;;;;X
EYRAPROV;位置;Location;;;;;;;;;X
EYRTOTAL;合計;Total;;;;;;;;;X
EYRARMIES;陸軍師団;Land Divisions;;;;;;;;;X
EYRFLEETS;艦船;Ships;;;;;;;;;X
EYRAIR;航空団;Air Wings;;;;;;;;;X
EYRARMYLEADERS;陸軍司令官;Land Commanders;;;;;;;;;X
EYRNAVYLEADERS;海軍司令官;Naval Commanders;;;;;;;;;X
EYRAIRLEADERS;航空宇宙軍司令官;Air Commanders;;;;;;;;;X
EYR_INT;要撃戦闘機;;;;;;;;;;x
EYR_MUL;多用途戦闘機;;;;;;;;;;x
EYR_ESC;護衛戦闘機;;;;;;;;;;x
EYR_STR;戦略爆撃機;;;;;;;;;;x
EYR_TAC;戦術爆撃機;;;;;;;;;;x
EYR_DIV;戦闘ヘリ;;;;;;;;;;x
EYR_NAV;戦闘攻撃機;;;;;;;;;;x
EYR_TOR;対艦機;;;;;;;;;;x
EYR_TPL;輸送機;;;;;;;;;;x
EYR_FBO;戦術ミサイル;;;;;;;;;;x
EYR_ROC;戦略ミサイル;;;;;;;;;;x
EYR_HST;装甲駆逐艦;;;;;;;;;;x
EYR_HSD;再突入型駆逐艦;;;;;;;;;;x
EYR_INF;戦術機/改;;;;;;;;;;x
EYR_CAV;戦術機/斯衛;;;;;;;;;;x
EYR_MOT;機動要塞/特殊;;;;;;;;;;x
EYR_MEC;機械化/艦載機;;;;;;;;;;x
EYR_CAS;戦闘ヘリ;;;;;;;;;;x
EYR_LARM;歩兵戦闘車;;;;;;;;;;x
EYR_ARM;戦車;;;;;;;;;;x
EYR_GAR;支援;;;;;;;;;;x
EYR_HQ;司令部;;;;;;;;;;x
EYR_PAR;戦術機;;;;;;;;;;x
EYR_MAR;強襲機;;;;;;;;;;x
EYR_BER;攻撃機;;;;;;;;;;x
EYR_MIL;練習機;;;;;;;;;;x
EYR_BAT;戦艦;;;;;;;;;;x
EYR_LCRU;ミサイル艇;;;;;;;;;;x
EYR_HCRU;巡洋艦;;;;;;;;;;x
EYR_BCRU;ロケット砲艦;;;;;;;;;;x
EYR_DES;駆逐艦;;;;;;;;;;x
EYR_CAR;航空母艦;;;;;;;;;;
EYR_SUB;潜水艦;;;;;;;;;;
EYR_TRA;輸送艦/揚陸艦;;;;;;;;;;
EYRHISTORY;歴史;History;;;;;;;;;X
EYRCOUNTRY;国;Country;;;;;;;;;X
EYRCOMARMIES;各国陸軍比較;National Army Comparison;;;;;;;;;X
EYRCOMAIR;各国空軍比較;National Air Force Comparisons;;;;;;;;;X
EYRCOMNAVIES;各国海軍比較;National Naval Comparisons;;;;;;;;;X
EYRPROVINCE;領土情報;Territorial Information;;;;;;;;;X
EYR_VPPROVS;現在の勝利ポイント配分;Current Points Allocation;;;;;;;;;X
EYR_T_PROVINCE;プロヴィンス;Province;;;;;;;;;X
EYR_T_IC;IC;IC;;;;;;;;;X
EYR_T_ENERGY;エネルギー;Energy;;;;;;;;;X
EYR_T_METAL;金属;Metal;;;;;;;;;X
EYR_T_RARE_MATERIALS;希少;Rare Materials;;;;;;;;;X
EYR_T_OIL;石油;Oil;;;;;;;;;X
EYRCONVOY;輸送船団概要;Convoy Summary;;;;;;;;;X
EYR_C_FROM;出航地;From;;;;;;;;;X
EYR_C_TO;目的地;To;;;;;;;;;X
EYR_C_TRA;輸送船;Transports;;;;;;;;;X
EYR_C_ESC;護衛艦;Escorts;;;;;;;;;X
EYR_C_ENERGY;エネルギー;Energy;;;;;;;;;X
EYR_C_METAL;金属;Metal;;;;;;;;;X
EYR_C_RARE_MATERIALS;希少資源;Rare Materials;;;;;;;;;X
EYR_C_OIL;石油;Oil;;;;;;;;;X
EYR_C_SUP;物資;Supplies;;;;;;;;;X
EYR_V_PROV;プロヴィンス;Province;;;;;;;;;X
EYR_V_VALUE;勝利ポイント;Value;;;;;;;;;X
EYR_WHO;支配者;Controller;;;;;;;;;X
EYR_AXIS;;Axis;;;;;;;;;X
EYR_ALLIES;;Allies;;;;;;;;;X
EYR_COM;;Comintern;;;;;;;;;X
EYR_NEUTRAL;中立国;Neutral;;;;;;;;;X
EYRMAINTANCE;総合維持費;Total maintenance costs;;;;;;;;;X
EYRARMYMAINTANCE;陸軍維持費;Army maintenance costs;;;;;;;;;X
EYRNAVYMAINTANCE;海軍維持費;Navy maintenance costs;;;;;;;;;X
EYRAIRMAINTANCE;空軍維持費;Air force maintenance costs;;;;;;;;;X
EYRNUMDIV;師団数;Number of divisions;;;;;;;;;X
EYRSUPPLYCOST;物資使用状況;Supply usage;;;;;;;;;X
EYROILCOST;石油使用状況;Oil usage;;;;;;;;;X
EYRREINFCOST;戦力補充に必要な労働力;Manpower needed for reinforcement;;;;;;;;;X
EYR_ECAR;軽空母;Light Carrier;;;;;;;;;X
#EYR_NSUB;重潜;Heavy Sub;;;;;;;;;X
EYR_ARMY;陸軍;Army;;;;;;;;;X
EYR_NAVY;海軍;Navy;;;;;;;;;X
EYR_AIRFORCE;空軍;Air force;;;;;;;;;X
EYR_LANDBATTLES;陸戦;Land battles;;;;;;;;;X
EYR_NAVALBATTLES;海戦;Naval battles;;;;;;;;;X
EYR_RESULT;結果;Result;;;;;;;;;X
EYR_ROLE;攻/防;Role;;;;;;;;;X
EYR_OURSIZE;自軍戦力;Our Size;;;;;;;;;X
EYR_THEIRSIZE;敵軍戦力;Their Size;;;;;;;;;X
EYR_STARTDATE;開始日時;Start Date;;;;;;;;;X
EYR_ENDDATE;終了日時;End Date;;;;;;;;;X
EYR_PROVINCE;プロヴィンス;Province;;;;;;;;;X
EYR_OURLOSSES;自軍損失;Our Losses;;;;;;;;;X
EYR_THEIRLOSSES;敵軍損失;Their Losses;;;;;;;;;X
EYRMISSION;任務;Mission;;;;;;;;;X
EYRUNDEPLOYED;未展開;Undeployed;;;;;;;;;X
EYRBOMBERSFROM;航空機;Aircraft;;;;;;;;;X
EYR_REDPLOYING_TO;（戦略的再配備）;(Strat Redep);;;;;;;;;X
EYRARMIES_ST;師団データ;DIVISION STATISTICS;;;;;;;;;X
EYRFLEETS_ST;艦船データ;SHIP STATISTICS;;;;;;;;;X
EYRAIR_ST;航空機データ;AIRCRAFT STATISTICS;;;;;;;;;X
EYRBRIGADESHORT;旅団;Brigade;;;;;;;;;X
EYR_C_MONEY;資金;Money;;;;;;;;;X
EYRSUNKNAME;撃沈艦名;Sunk by;;;;;;;;;X
EYRSUNKPAGE;艦艇撃沈データ;Sunk ships;;;;;;;;;X
EYRBRIGADE;旅団の配備状況;Brigade Attachment;;;;;;;;;X
EYRCAG;CAG;CAG;;;;;;;;;X
EYRLANDVAL;陸軍ユニット修正;Army Unit Modifiers;;;;;;;;;X
EYRNAVYVAL;海軍ユニット修正;Naval Unit Modifiers;;;;;;;;;X
EYRAIRVAL;空軍ユニット修正;Air Unit Modifiers;;;;;;;;;X
EYR_VP_HELD;支配下;Controlled;;;;;;;;;X
EYR_VP_OFF;マップ外;Off-Map;;;;;;;;;X
EYR_VP_TOTAL;合計;Total;;;;;;;;;X
EYR_VPCOUNTRY;勝者の道程;Victory Progress;;;;;;;;;X
EYRUPGRADE;改良;Upgrade;;;;;;;;;X
EYRLTRAITS;特性;Traits;;;;;;;;;X
EYRMODEL;型式;Model;;;;;;;;;X
EYRSOFT;脆弱性;Soft;;;;;;;;;X
EYRHA;対戦;HA;;;;;;;;;X
EYRSA;対人;SA;;;;;;;;;X
EYRAA;空攻;AA;;;;;;;;;X
EYRDEF;防御;DE;;;;;;;;;X
EYRTOU;耐久;TO;;;;;;;;;X
EYRAIRD;防空;AD;;;;;;;;;X
EYRSUPP;制圧;SU;;;;;;;;;X
EYRSPEED;速度;SPEED;;;;;;;;;X
EYRSUPPLY;物資;SC;;;;;;;;;X
EYRFUEL;燃消;FC;;;;;;;;;X
EYRSEA;艦攻;SA;;;;;;;;;X
EYRSHO;沿岸;SB;;;;;;;;;X
EYRRANGE;行動;RANGE;;;;;;;;;X
EYRSDC;海索;SDC;;;;;;;;;X
EYRADC;空索;ADC;;;;;;;;;X
EYRSUBDC;潜索;UBC;;;;;;;;;X
EYRSUBA;潜攻;SUA;;;;;;;;;X
EYRVIS;被発見;VIS;;;;;;;;;X
EYRSTR;戦力;STR;;;;;;;;;X
EYRSEAD;対艦防;SD;;;;;;;;;X
EYRNA;艦攻;NA;;;;;;;;;X
EYRSD;対地防;SD;;;;;;;;;X
EYRFD;射程;MinD;;;;;;;;;X
EYREXPS;経験;Exp;;;;;;;;;X
EYRSORTBY;並べ替えの基準：;Sort by;;;;;;;;;X
EYR_PUPPET;属国から;From Puppets;;;;;;;;;X
EYR_OVERLORD;宗主国へ送る;Sent to Overlords;;;;;;;;;X
EYRCOM_LOSSES_TAKEN;陸軍損失統計;Taken Losses Comparison;;;;;;;;;X
EYRCOM_LOSSES_INFLICTED;陸軍戦果統計;Inflicted Losses Comparison;;;;;;;;;X
EYRCOM_NUKED_HISTORY;G弾攻撃履歴;Nuked History;;;;;;;;;X
EYR_NUKER;G弾攻撃国;Nuker;;;;;;;;;X
EYR_NUKED;被G弾攻撃国;Nuked;;;;;;;;;X
EYR_NUKE_DATE;G弾攻撃実施日;Date;;;;;;;;;X
EYR_OVER_STOCKPILE_LIMIT_LOSS;備蓄上限超過分の損失;Over stockpile limit loss;;;;;;;;;X
EYRASTR2;戦力;Str;;;;;;;;;X
